id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
6420,Romain Faivre,10,592,0,0.42545729875564575,2,1.0503338649868965,11,10,0,0,F M S,Auxerre,0,0.42545729875564575,0.9647739827632904,0.6326931342482567
10172,Jonathan Rowe,1,69,0,0.4206070303916931,0,0,5,0,0,0,M,Marseille,0,0.4206070303916931,0.5255916714668274,0.132924884557724
11910,William Pacho,23,1910,0,0.4116395451128483,0,0.08642413467168808,8,2,0,0,D S,Paris Saint Germain,0,0.4116395451128483,13.224247073754668,13.1378229316324
10169,Diego Coppola,13,1170,0,0.3868824653327465,2,0.6742797177284956,5,3,1,0,D,Paris FC,0,0.3868824653327465,3.0652926145121455,2.7477271733805537
11816,Abakar Sylla,3,68,0,0.3827866427600384,0,0,2,0,0,0,D S,"Nantes,Strasbourg",0,0.3827866427600384,0.10258332639932632,0.10258332639932632
9673,Bilal Nadir,20,564,0,0.3718383200466633,4,1.9472699239850044,7,11,4,1,M S,Marseille,0,0.3718383200466633,7.013857154175639,4.764937616884708
12284,Samir El Mourabet,33,2145,1,0.3717561801895499,2,2.710016814060509,12,28,4,0,M S,Strasbourg,1,0.3717561801895499,9.81571489572525,7.251820180565119
12392,Arthur Vermeeren,20,806,0,0.36786860786378384,1,0.7389395069330931,3,11,1,1,M S,Marseille,0,0.36786860786378384,4.4883415549993515,3.467931855469942
13737,Mathys de Carvalho,11,279,0,0.3661429677158594,0,0.035325370728969574,7,1,1,0,M S,Lyon,0,0.3661429677158594,1.3563930429518223,1.1285228598862886
3239,Hamari Traore,18,1169,0,0.36396299861371517,1,0.8060098411515355,4,9,4,0,D S,Paris FC,0,0.36396299861371517,4.230144029483199,3.7136071901768446
7501,Amadou Haidara,7,241,1,0.35697678197175264,1,0.16446375846862793,2,2,0,0,M S,Lens,1,0.35697678197175264,1.0245064916089177,0.5030659437179565
3786,Mathieu Cafaro,10,133,0,0.3560937438160181,0,0.2414950653910637,7,3,0,0,F S,Paris FC,0,0.3560937438160181,0.8715657591819763,0.555083841085434
9661,Igor Silva,17,1208,1,0.35449149180203676,0,0.5010415175929666,8,8,1,0,D S,Lorient,1,0.35449149180203676,2.105978773906827,1.8507669549435377
14083,Enzo Koffi,14,370,0,0.3517147842794657,0,0.24148045480251312,4,4,2,0,D S,Le Havre,0,0.3517147842794657,1.2503153309226036,1.0184170790016651
3253,Frederic Guilbert,8,614,0,0.34089660085737705,0,1.5390042420476675,7,7,1,0,D M S,Nantes,0,0.34089660085737705,1.85949700884521,1.641930215060711
3785,Kelvin Adou,23,1964,0,0.340591112151742,1,1.3137031211517751,10,8,3,0,D S,Nantes,0,0.340591112151742,4.207194481045008,3.044281706213951
9633,Przemyslaw Frankowski,19,1230,1,0.3376607820391655,2,2.6184137174859643,9,29,5,0,D M S,Rennes,1,0.3376607820391655,6.106847031973302,5.379636352881789
849,Chancel Mbemba,13,949,0,0.33667536824941635,0,0.5853789737448096,7,4,3,0,D S,Lille,0,0.33667536824941635,4.433986961841583,4.335267826914787
12000,Ibou Sané,16,520,1,0.33163389936089516,1,0.9435513913631439,6,5,2,0,F M S,Metz,1,0.33163389936089516,1.4006390273571014,0.232405548915267
4941,Hans Hateboer,16,744,0,0.32864430733025074,0,0.03406402841210365,7,1,0,1,D S,"Lyon,Rennes",0,0.32864430733025074,2.8689861558377743,2.6208875365555286
11131,Christian Mawissa Elebi,18,1178,0,0.32485610991716385,0,0.35625962913036346,2,5,4,0,D S,Monaco,0,0.32485610991716385,3.7123467437922955,3.0805793963372707
